ApprovalFiscalYear,GrossApproval,NaicsCode,InitialInterestRate,BorrState,JobsSupported,LoanStatus
2020,9441500,112310,6.278461538,AL,31,EXEMPT
2012,157935900,112320,6.279207746,MS,612,PIF
2013,153197300,112320,5.936107143,MS,627,PIF
2014,285984400,112320,5.86675841,OH,744,EXEMPT
2015,573709400,112320,6.035607064,GA,928,PIF
2016,513280707,112320,5.884056604,AR,863,EXEMPT
2017,389457600,112320,5.959710611,GA,677,EXEMPT
2018,348944506,112320,6.232151724,KY,681,EXEMPT
2019,93982100,112320,6.7337,AR,238,CANCLD
2020,55322800,112320,6.367818182,OH,133,EXEMPT
2012,775000,112330,7.32,AR,2,EXEMPT
2013,2640400,112330,5.23,AR,17,PIF
2014,427000,112330,5.425,AR,7,PIF
2015,1478600,112330,5.7875,AR,8,PIF
2016,3521500,112330,5.3875,AR,19,PIF
2017,8798500,112330,5.28125,AR,14,PIF
2018,2194000,112330,6.3,AR,2,EXEMPT
2012,3877000,112340,5.8,MS,16,EXEMPT
2013,8903200,112340,5.625,GA,21,PIF
2014,4128700,112340,5.788571429,MA,24,EXEMPT
2015,3699000,112340,6,MS,7,EXEMPT
2016,1407500,112340,5.08,MS,12,EXEMPT
2017,1083800,112340,7.958,SC,6,EXEMPT
2018,5044000,112340,6.55,GA,35,PIF
2019,35000,112340,10.99,FL,0,EXEMPT
2020,1160000,112340,6,GA,0,COMMIT
2012,6487900,112390,6.188636364,MS,71,PIF
2013,21151000,112390,5.821428571,GA,199,PIF
2014,11803300,112390,6.00173913,MO,57,PIF
2015,38144700,112390,5.89119697,LA,151,EXEMPT
2016,31664600,112390,6.034561404,AR,138,EXEMPT
2017,14397100,112390,5.949512195,FL,88,EXEMPT
2018,27058000,112390,6.575714286,AR,73,EXEMPT
2019,4952200,112390,6.8345,OH,45,PIF
2020,5818200,112390,6.827777778,TN,17,EXEMPT
2014,61900,112410,5.2,CA,2,PIF
2018,53200,112410,8.375,UT,0,EXEMPT
2013,20000,112420,7.5,TX,1,PIF
2015,35000,112420,8.3125,HI,4,PIF
2016,10000,112420,9.25,MN,2,CHGOFF
2018,10000,112420,10.5,CA,0,EXEMPT
2019,5400,112420,6.5,KY,0,EXEMPT
2020,10000,112420,9.25,TX,0,COMMIT
2012,313400,112511,6.125,CA,15,PIF
